NOC2016,noc_title_2016,NOC2006,noc_title_2006
3012,Registered nurses and registered psychiatric nurses,D112,Registered nurses
3111,Specialist physicians,D011,Specialist physicians
3112,General practitioners and family physicians,D012,General practitioners and family physicians
3113,Dentists,D013,Dentists
3114,Veterinarians,D014,Veterinarians
3121,Optometrists,D021,Optometrists
3122,Chiropractors,D022,Chiropractors
3124,Allied primary health practitioners,D112,Registered nurses
3124,Allied primary health practitioners,D232,Midwives and practitioners of natural healing
3125,Other professional occupations in health diagnosing and treating,D023,Other professional occupations in health diagnosing and treating
3131,Pharmacists,D031,Pharmacists
3132,Dietitians and nutritionists,D032,Dietitians and nutritionists
3141,Audiologists and speech-language pathologists,D041,Audiologists and speech-language pathologists
3142,Physiotherapists,D042,Physiotherapists
3143,Occupational therapists,D043,Occupational therapists
3144,Other professional occupations in therapy and assessment,D044,Other professional occupations in therapy and assessment
3211,Medical laboratory technologists,D211,Medical laboratory technologists and pathologists' assistants
3212,Medical laboratory technicians and pathologists' assistants,D212,Medical laboratory technicians
3213,Animal health technologists and veterinary technicians,D213,Veterinary and animal health technologists and technicians
3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",D214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
3215,Medical radiation technologists,D215,Medical radiation technologists
3216,Medical sonographers,D216,Medical sonographers
3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",D217,Cardiology technologists
3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",D218,"Electroencephalographic and other diagnostic technologists, n.e.c."
3219,Other medical technologists and technicians (except dental health),D219,Other medical technologists and technicians (except dental health)
3219,Other medical technologists and technicians (except dental health),D313,Other assisting occupations in support of health services
3221,Denturists,D221,Denturists
3222,Dental hygienists and dental therapists,D222,Dental hygienists and dental therapists
3223,"Dental technologists, technicians and laboratory assistants",D223,"Dental technologists, technicians and laboratory bench workers"
3231,Opticians,D231,Opticians
3232,Practitioners of natural healing,D232,Midwives and practitioners of natural healing
3233,Licensed practical nurses,D233,Licensed practical nurses
3234,Paramedical occupations,D234,Ambulance attendants and other paramedical occupations
3236,Massage therapists,D235,Other technical occupations in therapy and assessment
3237,Other technical occupations in therapy and assessment,D235,Other technical occupations in therapy and assessment
3237,Other technical occupations in therapy and assessment,D313,Other assisting occupations in support of health services
3411,Dental assistants,D311,Dental assistants
3413,"Nurse aides, orderlies and patient service associates",D312,"Nurse aides, orderlies and patient service associates"
3414,Other assisting occupations in support of health services,D313,Other assisting occupations in support of health services
4011,University professors and lecturers,E111,University professors
4012,Post-secondary teaching and research assistants,E112,Post-secondary teaching and research assistants
4021,College and other vocational instructors,E121,College and other vocational instructors
4031,Secondary school teachers,E131,Secondary school teachers
4032,Elementary school and kindergarten teachers,E132,Elementary school and kindergarten teachers
4033,Educational counsellors,E133,Educational counsellors
4111,Judges,E011,Judges
4112,Lawyers and Quebec notaries,E012,Lawyers and Quebec notaries
4151,Psychologists,E021,Psychologists
4152,Social workers,E022,Social workers
4153,"Family, marriage and other related counsellors",E023,"Family, marriage and other related counsellors"
4154,Professional occupations in religion,E024,Ministers of religion
4155,Probation and parole officers and related occupations,E025,Probation and parole officers and related occupations
4156,Employment counsellors,E213,Employment counsellors
